,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Positivity,Negativity
139,-122.26355,47.6762,POLICE OFFICER PROBATION,0,Asian,2,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
140,-122.26355,47.6762,POLICE OFFICER,0,White,2,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
141,-122.26355,47.6762,POLICE OFFICER,0,Black or African American,2,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
145,-122.34334,47.70596,POLICE OFFICER,0,White,17,3,0,Not Specified,1,1,1,1,No,"['female subject', 'Seattle Police Officers', 'Seattle Police Communication Center', 'Spanish', 'unit', 'weapons', 'female caller', 'adult female', 'adjacent room', 'body', 'forced entry', 'apartment complex', 'apartment building', 'floor', 'door', 'large kitchen knife', 'multiple times', 'location', 'meat cleaver', 'parking lot', 'single additional round', 'block of Midvale Avenue North', 'Department paramedics', 'area', 'uniform', 'significant quantity of blood', 'care', 'resident', 'placa', 'mix of English', 'help', 'search', 'feet', 'badge', 'hand', 'Alto', 'witness', 'reply', 'aid', 'scene', 'Policia']","{'positive': 0.11, 'neutral': 0.09, 'negative': 0.8}",0.11,0.8
146,-122.34334,47.70596,POLICE OFFICER,0,Black or African American,25,3,0,Not Specified,1,1,1,1,No,"['female subject', 'Seattle Police Officers', 'Seattle Police Communication Center', 'Spanish', 'unit', 'weapons', 'female caller', 'adult female', 'adjacent room', 'body', 'forced entry', 'apartment complex', 'apartment building', 'floor', 'door', 'large kitchen knife', 'multiple times', 'location', 'meat cleaver', 'parking lot', 'single additional round', 'block of Midvale Avenue North', 'Department paramedics', 'area', 'uniform', 'significant quantity of blood', 'care', 'resident', 'placa', 'mix of English', 'help', 'search', 'feet', 'badge', 'hand', 'Alto', 'witness', 'reply', 'aid', 'scene', 'Policia']","{'positive': 0.11, 'neutral': 0.09, 'negative': 0.8}",0.11,0.8
147,-122.3278989,47.61547209,POLICE OFFICER,0,White,3,Multiple,0,Asian,1,0,1,1,No,"['subject', 'west contact team', 'Police Officers', 'south contact team', 'rifle officer', 'contact teams', 'rifle equipped officer', 'area', 'ballistic shield', 'lethal weapon', 'reported location', 'multiple rounds', 'multiple rubber baton projectile', 'caller', 'Department paramedics', 'street', 'continued care', 'husband', 'black object', 'Seattle', 'scene', 'arm', 'Harborview Medical Center', 'crossfire situation', 'sidewalk', 'rack', 'uniform', 'block of Melrose', 'loud noise', 'handgun', 'apartment', 'possession', 'gunshot', 'information', 'suicide', 'hands', 'ground', 'audible warning', 'Degree Assault', 'earshot', 'direction', 'radio', 'air', 'custody', 'building', 'aid', 'injuries']","{'positive': 0.12, 'neutral': 0.06, 'negative': 0.82}",0.12,0.82
148,-122.3278989,47.61547209,POLICE OFFICER,0,White,5,Multiple,0,Asian,1,0,1,1,No,"['subject', 'west contact team', 'Police Officers', 'south contact team', 'rifle officer', 'contact teams', 'rifle equipped officer', 'area', 'ballistic shield', 'lethal weapon', 'reported location', 'multiple rounds', 'multiple rubber baton projectile', 'caller', 'Department paramedics', 'street', 'continued care', 'husband', 'black object', 'Seattle', 'scene', 'arm', 'Harborview Medical Center', 'crossfire situation', 'sidewalk', 'rack', 'uniform', 'block of Melrose', 'loud noise', 'handgun', 'apartment', 'possession', 'gunshot', 'information', 'suicide', 'hands', 'ground', 'audible warning', 'Degree Assault', 'earshot', 'direction', 'radio', 'air', 'custody', 'building', 'aid', 'injuries']","{'positive': 0.12, 'neutral': 0.06, 'negative': 0.82}",0.12,0.82
149,-122.3278989,47.61547209,POLICE OFFICER,0,White,1,1,0,Asian,1,0,1,1,No,"['subject', 'west contact team', 'Police Officers', 'south contact team', 'rifle officer', 'contact teams', 'rifle equipped officer', 'area', 'ballistic shield', 'lethal weapon', 'reported location', 'multiple rounds', 'multiple rubber baton projectile', 'caller', 'Department paramedics', 'street', 'continued care', 'husband', 'black object', 'Seattle', 'scene', 'arm', 'Harborview Medical Center', 'crossfire situation', 'sidewalk', 'rack', 'uniform', 'block of Melrose', 'loud noise', 'handgun', 'apartment', 'possession', 'gunshot', 'information', 'suicide', 'hands', 'ground', 'audible warning', 'Degree Assault', 'earshot', 'direction', 'radio', 'air', 'custody', 'building', 'aid', 'injuries']","{'positive': 0.12, 'neutral': 0.06, 'negative': 0.82}",0.12,0.82
150,-122.3278989,47.61547209,POLICE OFFICER PROBATION,0,White,1,Multiple,0,Asian,1,0,1,1,No,"['subject', 'west contact team', 'Police Officers', 'south contact team', 'rifle officer', 'contact teams', 'rifle equipped officer', 'area', 'ballistic shield', 'lethal weapon', 'reported location', 'multiple rounds', 'multiple rubber baton projectile', 'caller', 'Department paramedics', 'street', 'continued care', 'husband', 'black object', 'Seattle', 'scene', 'arm', 'Harborview Medical Center', 'crossfire situation', 'sidewalk', 'rack', 'uniform', 'block of Melrose', 'loud noise', 'handgun', 'apartment', 'possession', 'gunshot', 'information', 'suicide', 'hands', 'ground', 'audible warning', 'Degree Assault', 'earshot', 'direction', 'radio', 'air', 'custody', 'building', 'aid', 'injuries']","{'positive': 0.12, 'neutral': 0.06, 'negative': 0.82}",0.12,0.82
152,-122.360624,47.62519781,POLICE OFFICER,0,Two or More Races,5,2,0,Not Specified,1,1,1,1,No,"['subject', 'Seattle Police Officers', 'residence', 'knife', 'caller', 'scene', 'door', 'boyfriend', 'entry', 'Seattle Police Communication Center', 'attempted contact', 'block', 'Department', 'Avenue West', 'woman', 'paramedics', 'room', 'surrender', 'custody', 'uniform', 'rounds', 'aid', 'response']","{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}",0,0.95
153,-122.360624,47.62519781,POLICE OFFICER,0,White,29,8,0,Not Specified,1,1,1,1,No,"['subject', 'Seattle Police Officers', 'residence', 'knife', 'caller', 'scene', 'door', 'boyfriend', 'entry', 'Seattle Police Communication Center', 'attempted contact', 'block', 'Department', 'Avenue West', 'woman', 'paramedics', 'room', 'surrender', 'custody', 'uniform', 'rounds', 'aid', 'response']","{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}",0,0.95
