,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Positivity,Negativity
65,-122.362021,47.70296205,Officer,0,White,6,Multiple,0,Native American,1,1,1,-1,Missing,"['subject', 'officers', 'house', 'metal bar', 'head', 'apparent assault attempt', 'possible Domestic Violence hostage', 'knife', 'Harborview Medical Center', 'foot pursuit', 'son', 'Taser', 'fatherâ€™s throat', 'block', 'safety', 'dialogue', 'success', 'dead', 'custody']","{'positive': 0.17, 'neutral': 0.0, 'negative': 0.83}",0.17,0.83
67,-122.3267269,47.61886279,Officer,0,White,19,1,0,White,1,1,1,-1,Missing,"['SWAT officers', 'subject continuing threats', 'apartment', 'duty patrol officers', 'handgun', 'scene', 'reports', 'HNT', 'Hostage Negotiation Team', 'hours', 'building walking', 'shots', 'round', 'subjectâ€™s floor', 'dead', 'suspect', 'Negotiations']","{'positive': 0.0, 'neutral': 0.03, 'negative': 0.97}",0,0.97
68,-122.3267269,47.61886279,Officer,0,White,17,3,0,White,1,1,1,-1,Missing,"['SWAT officers', 'subject continuing threats', 'apartment', 'duty patrol officers', 'handgun', 'scene', 'reports', 'HNT', 'Hostage Negotiation Team', 'hours', 'building walking', 'shots', 'round', 'subjectâ€™s floor', 'dead', 'suspect', 'Negotiations']","{'positive': 0.0, 'neutral': 0.03, 'negative': 0.97}",0,0.97
69,-122.3364302,47.60825971,Officer,0,White,9,Multiple,0,Black or African American,1,1,1,-1,Missing,"['subject', 'Metro Operator', 'King County Metro bus', 'bus fare', 'Harborview Medical Center', 'Officers', 'duty units', 'duty backup', 'secondary employment posts', 'responding marked patrol car', 'dispute', 'block', 'incident', 'payment', 'foot', 'scene', 'rounds', 'firearm', 'wounds']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
70,-122.3364302,47.60825971,Officer,0,White,4,Multiple,0,Black or African American,1,1,1,-1,Missing,"['subject', 'Metro Operator', 'King County Metro bus', 'bus fare', 'Harborview Medical Center', 'Officers', 'duty units', 'duty backup', 'secondary employment posts', 'responding marked patrol car', 'dispute', 'block', 'incident', 'payment', 'foot', 'scene', 'rounds', 'firearm', 'wounds']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
71,-122.3364302,47.60825971,Officer,0,White,24,Multiple,0,Black or African American,1,1,1,-1,Missing,"['subject', 'Metro Operator', 'King County Metro bus', 'bus fare', 'Harborview Medical Center', 'Officers', 'duty units', 'duty backup', 'secondary employment posts', 'responding marked patrol car', 'dispute', 'block', 'incident', 'payment', 'foot', 'scene', 'rounds', 'firearm', 'wounds']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
72,-122.3364302,47.60825971,Officer,0,White,14,Multiple,0,Black or African American,1,1,1,-1,Missing,"['subject', 'Metro Operator', 'King County Metro bus', 'bus fare', 'Harborview Medical Center', 'Officers', 'duty units', 'duty backup', 'secondary employment posts', 'responding marked patrol car', 'dispute', 'block', 'incident', 'payment', 'foot', 'scene', 'rounds', 'firearm', 'wounds']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
80,-122.334351,47.64563,Officer,0,Asian/Pacific Islander,6,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'CIT officer', 'Patrol Sergeant', 'private security officer', 'area of Gas Works Park', 'Taser deployments', 'jagged edge weapon', 'additional Crisis Intervention', 'unrelated domestic violence', 'Harborview Medical Center', 'period of time', 'transient male', 'glass bottle', 'dead', 'multiple times', 'plan', 'hand', 'contact']","{'positive': 0.01, 'neutral': 0.07, 'negative': 0.92}",0.01,0.92
81,-122.334351,47.64563,Officer,0,White,13,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'CIT officer', 'Patrol Sergeant', 'private security officer', 'area of Gas Works Park', 'Taser deployments', 'jagged edge weapon', 'additional Crisis Intervention', 'unrelated domestic violence', 'Harborview Medical Center', 'period of time', 'transient male', 'glass bottle', 'dead', 'multiple times', 'plan', 'hand', 'contact']","{'positive': 0.01, 'neutral': 0.07, 'negative': 0.92}",0.01,0.92
82,-122.3611792,47.62873028,Officer,0,White,10,Multiple,0,White,1,1,1,1,No,"['subject', 'additional officers', 'Seattle Police Patrol Officers', 'home', 'residence', 'patrol rifles', 'additional gunshot', 'Tactics team', 'shooting position', 'position of cover', 'Special Weapons', 'positions', 'block of West Prospect', 'suspect', 'area', 'probable cause', 'domestic violence', 'day', 'doorway', 'multiple firearms', 'Sergeant', 'report of shots', 'initial exchange', 'hostage negotiator', 'deceased', 'house', 'case', 'calls']","{'positive': 0.0, 'neutral': 0.04, 'negative': 0.96}",0,0.96
83,-122.3611792,47.62873028,Officer,0,White,25,Multiple,0,White,1,1,1,1,No,"['subject', 'additional officers', 'Seattle Police Patrol Officers', 'home', 'residence', 'patrol rifles', 'additional gunshot', 'Tactics team', 'shooting position', 'position of cover', 'Special Weapons', 'positions', 'block of West Prospect', 'suspect', 'area', 'probable cause', 'domestic violence', 'day', 'doorway', 'multiple firearms', 'Sergeant', 'report of shots', 'initial exchange', 'hostage negotiator', 'deceased', 'house', 'case', 'calls']","{'positive': 0.0, 'neutral': 0.04, 'negative': 0.96}",0,0.96
85,-122.2794885,47.54511033,Officer,0,White,<1,3,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
86,-122.2794885,47.54511033,Officer,0,AI/AN,8,5,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
87,-122.2794885,47.54511033,Officer,1,White,7,2,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
88,-122.2794885,47.54511033,POLICE OFFICER,0,AI/AN,7,5,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
89,-122.2794885,47.54511033,POLICE OFFICER,1,White,7,2,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
90,-122.2794885,47.54511033,POLICE OFFICER,0,White,5,2,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
91,-122.2794885,47.54511033,POLICE OFFICER,1,White,7,2,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
92,-122.2794885,47.54511033,POLICE OFFICER,1,White,7,2,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
